"topic","page","modul","replace modul="modul" if page=="page"","recode"
"v","vba08","episodes","replace modul="episodes" if page=="vba08""
"v","vba10","episodes","replace modul="episodes" if page=="vba10""
"v","vba20","episodes","replace modul="episodes" if page=="vba20""
"v","vba21","episodes","replace modul="episodes" if page=="vba21""
"v","vbb06","episodes","replace modul="episodes" if page=="vbb06""
"v","vbb07","episodes","replace modul="episodes" if page=="vbb07""
"v","vbb08","episodes","replace modul="episodes" if page=="vbb08""
"v","vbb10","episodes","replace modul="episodes" if page=="vbb10""
"v","vbb20","episodes","replace modul="episodes" if page=="vbb20""
"v","vbb21","episodes","replace modul="episodes" if page=="vbb21""
"v","vbc06","episodes","replace modul="episodes" if page=="vbc06""
"v","vbc07","episodes","replace modul="episodes" if page=="vbc07""
"v","vbc08","episodes","replace modul="episodes" if page=="vbc08""
"v","vbc10","episodes","replace modul="episodes" if page=="vbc10""
"v","vbc20","episodes","replace modul="episodes" if page=="vbc20""
"v","vbc21","episodes","replace modul="episodes" if page=="vbc21""
"v","vbd06","episodes","replace modul="episodes" if page=="vbd06""
"v","vbd07","episodes","replace modul="episodes" if page=="vbd07""
"v","vbd08","episodes","replace modul="episodes" if page=="vbd08""
"v","vbd10","episodes","replace modul="episodes" if page=="vbd10""
"v","vbd20","episodes","replace modul="episodes" if page=="vbd20""
"v","vbd21","episodes","replace modul="episodes" if page=="vbd21""
"v","vbz06","episodes","replace modul="episodes" if page=="vbz06""
"v","vbz10","episodes","replace modul="episodes" if page=="vbz10""
"v","vba23","episodes","replace modul="episodes" if page=="vba23""
"v","vba24","episodes","replace modul="episodes" if page=="vba24""
"v","vba25","episodes","replace modul="episodes" if page=="vba25""
"v","vba29","episodes","replace modul="episodes" if page=="vba29""
"v","vba30","episodes","replace modul="episodes" if page=="vba30""
"v","vca01","episodes","replace modul="episodes" if page=="vca01""
"v","vca05","episodes","replace modul="episodes" if page=="vca05""
"v","vca06","episodes","replace modul="episodes" if page=="vca06""
"v","vca07","episodes","replace modul="episodes" if page=="vca07""
"v","vca08","episodes","replace modul="episodes" if page=="vca08""
"v","vca10","episodes","replace modul="episodes" if page=="vca10""
"v","vca20","episodes","replace modul="episodes" if page=="vca20""
"v","vca21","episodes","replace modul="episodes" if page=="vca21""
"v","vcb06","episodes","replace modul="episodes" if page=="vcb06""
"v","vcb07","episodes","replace modul="episodes" if page=="vcb07""
"v","vcb08","episodes","replace modul="episodes" if page=="vcb08""
"v","vcb10","episodes","replace modul="episodes" if page=="vcb10""
"v","vcb20","episodes","replace modul="episodes" if page=="vcb20""
"v","vcb21","episodes","replace modul="episodes" if page=="vcb21""
"v","vcc06","episodes","replace modul="episodes" if page=="vcc06""
